price;city;region;district;metro;address;area;floor;max_floor;rooms;url
44 900 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Чкаловская;улица Малая Зеленина, 4;79,7;4;9;3;https://spb.cian.ru/sale/flat/326070830/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
39 018 000 ₽;Санкт-Петербург;р-н Петроградский;Посадский;м. Петроградская;улица Чапаева, 17к2;92,9;3;9;3;https://spb.cian.ru/sale/flat/325251483/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
20 179 611 ₽;Санкт-Петербург;р-н Невский;№ 54;м. Улица Дыбенко;Товарищеский проспект, 38Б;72,2;11;22;3;https://spb.cian.ru/sale/flat/322638600/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
55 000 000 ₽;Санкт-Петербург;р-н Московский;Пулковский меридиан;м. Московская;Московский проспект, 175;99,2;6;6;3;https://spb.cian.ru/sale/flat/325792096/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
40 500 000 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Крестовский остров;Петровский проспект, 22к2;70;4;8;2;https://spb.cian.ru/sale/flat/325718194/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
47 092 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Петроградская;набережная Реки Карповки, 31к1;77,2;2;8;3;https://spb.cian.ru/sale/flat/325317135/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
149 000 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Крестовский остров;Морской проспект, 24;271;2;7;6;https://spb.cian.ru/sale/flat/285457204/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
40 750 469 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Крестовский остров;Петровский проспект, 11к2;87,37;2;8;2;https://spb.cian.ru/sale/flat/313952730/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
18 708 189 ₽;Санкт-Петербург;р-н Курортный;мкр. Сестрорецк;м. Комендантский проспект;улица Инструментальщиков, 18;45,08;1;5;2;https://spb.cian.ru/sale/flat/327097078/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
67 000 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Крестовский остров;Константиновский проспект, 1/24;285,4;6;7;6;https://spb.cian.ru/sale/flat/313315108/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
41 581 000 ₽;Санкт-Петербург;р-н Петроградский;Посадский;м. Петроградская;улица Чапаева, 17к2;96,7;3;9;3;https://spb.cian.ru/sale/flat/318108607/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
35 575 600 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Петроградская;улица Профессора Попова, 38;57,38;3;6;2;https://spb.cian.ru/sale/flat/323361107/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
88 000 000 ₽;Санкт-Петербург;р-н Адмиралтейский;Сенной;м. Садовая;Фонарный переулок, 18;155;7;7;3;https://spb.cian.ru/sale/flat/323191629/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
47 900 000 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Крестовский остров;Петровский проспект, 28к1;70,6;2;7;2;https://spb.cian.ru/sale/flat/325694879/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
24 712 742 ₽;Санкт-Петербург;р-н Пушкинский;мкр. Пушкин;м. Купчино;Ляминский переулок, 12;54,63;2;3;1;https://spb.cian.ru/sale/flat/304160148/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
277 000 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Черная речка;2-я Березовая аллея, 13-15;441;3;3;6;https://spb.cian.ru/sale/flat/278938841/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
48 000 000 ₽;Санкт-Петербург;р-н Приморский;Коломяги;м. Удельная;Горная улица, 1к3;161,4;3;3;4;https://spb.cian.ru/sale/flat/321681119/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
11 260 000 ₽;Санкт-Петербург;р-н Василеостровский;Морской;м. Приморская;Северный Ветер ЖК;28,28;4;23;Студия;https://spb.cian.ru/sale/flat/327115707/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
99 000 000 ₽;Санкт-Петербург;р-н Петроградский;Кронверкское;м. Петроградская;улица Бармалеева, 2;180;6;6;3;https://spb.cian.ru/sale/flat/323753950/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
11 590 000 ₽;Санкт-Петербург;р-н Выборгский;Сампсониевское;м. Лесная;Кантемировская улица, 31;57,6;5;5;2;https://spb.cian.ru/sale/flat/323804972/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
86 557 917 ₽;Санкт-Петербург;р-н Василеостровский;Васильевский;м. Василеостровская;13-я Васильевского острова линия, 50;185,28;2;7;4;https://spb.cian.ru/sale/flat/290200432/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
75 000 000 ₽;Санкт-Петербург;р-н Центральный;Дворцовый;м. Адмиралтейская;Большая Морская улица, 4;107,2;2;7;3;https://spb.cian.ru/sale/flat/294201834/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
10 900 500 ₽;Санкт-Петербург;р-н Приморский;Комендантский аэродром;м. Пионерская;аллея Поликарпова, 3к1;63,9;6;12;3;https://spb.cian.ru/sale/flat/327431700/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
26 795 987 ₽;Санкт-Петербург;р-н Курортный;мкр. Сестрорецк;м. Комендантский проспект;улица Инструментальщиков, 18;66,98;3;5;3;https://spb.cian.ru/sale/flat/327097113/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
95 900 000 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Крестовский остров;Ждановская улица, 45;123,6;3;10;3;https://spb.cian.ru/sale/flat/292149080/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
8 000 000 ₽;Санкт-Петербург;р-н Калининский;Финляндский;м. Лесная;улица Замшина, 28;41,5;5;5;2;https://spb.cian.ru/sale/flat/326894750/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
28 537 727 ₽;Санкт-Петербург;р-н Василеостровский;Морской;м. Приморская;Невская Губа тер., 4 уч;75,18;7;17;3;https://spb.cian.ru/sale/flat/326661704/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
115 000 000 ₽;Санкт-Петербург;р-н Центральный;Лиговка-Ямская;м. Площадь Александра Невского;Тележная улица, 32;101,8;4;7;2;https://spb.cian.ru/sale/flat/316595645/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
11 850 000 ₽;Санкт-Петербург;р-н Кировский;Дачное;м. Проспект Ветеранов;Ленинский проспект, 109;39;12;25;1;https://spb.cian.ru/sale/flat/324394746/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
30 530 040 ₽;Санкт-Петербург;р-н Василеостровский;Гавань;м. Приморская;набережная Миклухо-Маклая, 3к1;84,9;13;14;3;https://spb.cian.ru/sale/flat/318135801/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
116 000 000 ₽;Санкт-Петербург;р-н Центральный;Литейный;м. Чернышевская;Фурштатская улица, 12;251;2;4;6;https://spb.cian.ru/sale/flat/324689741/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
14 240 000 ₽;Санкт-Петербург;р-н Василеостровский;Васильевский;м. Приморская;улица Беринга, 23к2;42,5;11;16;1;https://spb.cian.ru/sale/flat/324040871/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
8 547 157 ₽;Санкт-Петербург;р-н Калининский;Финляндский;м. Лесная;Аурум ЖК;21,9;7;17;Студия;https://spb.cian.ru/sale/flat/320458661/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
133 000 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Крестовский остров;Динамовская улица, 2;180;5;7;4;https://spb.cian.ru/sale/flat/320697791/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
12 800 000 ₽;Санкт-Петербург;р-н Василеостровский;Остров Декабристов;м. Приморская;Наличная улица, 40К1;60,5;2;9;3;https://spb.cian.ru/sale/flat/327017514/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
38 002 774 ₽;Санкт-Петербург;р-н Центральный;Смольнинское;м. Площадь Александра Невского;Кирилловская улица, 11;74,74;3;10;2;https://spb.cian.ru/sale/flat/305676954/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
133 000 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Крестовский остров;Динамовская улица, 2;178;5;7;4;https://spb.cian.ru/sale/flat/317292616/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
56 500 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Чкаловская;улица Малая Зеленина, 4;92,8;6;9;3;https://spb.cian.ru/sale/flat/326201377/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
57 382 677 ₽;Санкт-Петербург;р-н Центральный;Смольнинское;м. Площадь Александра Невского;Кирилловская улица, 11;94,23;9;10;4;https://spb.cian.ru/sale/flat/305677097/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
150 000 000 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Крестовский остров;Петровский проспект, 11к2;157,2;9;9;4;https://spb.cian.ru/sale/flat/322974286/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
12 000 000 ₽;Санкт-Петербург;р-н Калининский;Пискарёвка;м. Лесная;улица Замшина, 37;50;9;10;2;https://spb.cian.ru/sale/flat/324554276/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
20 956 560 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Спортивная;Ремесленная улица, 15;34,8;7;8;1;https://spb.cian.ru/sale/flat/318134992/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
155 000 000 ₽;Санкт-Петербург;р-н Центральный;Литейный;м. Чернышевская;набережная Кутузова, 24;135;4;4;4;https://spb.cian.ru/sale/flat/291632305/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
6 500 000 ₽;Санкт-Петербург;р-н Приморский;Коломяги;м. Комендантский проспект;улица Верхне-Каменская, 11к1;25;6;25;Студия;https://spb.cian.ru/sale/flat/327012068/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
25 216 440 ₽;Санкт-Петербург;р-н Московский;Московская застава;м. Московские ворота;улица Коли Томчака, 3;37,6;7;11;1;https://spb.cian.ru/sale/flat/327096117/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
180 000 000 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Крестовский остров;проезд Петровская коса, 6к1;205,5;7;7;4;https://spb.cian.ru/sale/flat/327236031/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
12 900 000 ₽;Санкт-Петербург;р-н Невский;Обуховский;м. Пролетарская;проспект Александровской фермы, 9;61,8;3;5;3;https://spb.cian.ru/sale/flat/322420645/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
21 908 711 ₽;Санкт-Петербург;р-н Невский;№ 54;м. Улица Дыбенко;;77,62;2;18;3;https://spb.cian.ru/sale/flat/318139891/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
99 000 000 ₽;Санкт-Петербург;р-н Центральный;Дворцовый;м. Гостиный двор;набережная Реки Мойки, 6;267;4;5;4;https://spb.cian.ru/sale/flat/323357661/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
89 900 000 ₽;Санкт-Петербург;р-н Адмиралтейский;Адмиралтейский;м. Адмиралтейская;Конногвардейский бульвар, 5;83,7;1;7;1;https://spb.cian.ru/sale/flat/326354180/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
7 468 735 ₽;Санкт-Петербург;р-н Василеостровский;Морской;м. Приморская;Новая Земля ЖК;19,13;5;17;Студия;https://spb.cian.ru/sale/flat/323016328/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
115 000 000 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Крестовский остров;проезд Петровская коса, 6к1;172;2;9;2;https://spb.cian.ru/sale/flat/327029168/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
110 990 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Чкаловская;Песочная набережная, 40;177,2;4;8;4;https://spb.cian.ru/sale/flat/312913911/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
22 729 026 ₽;Санкт-Петербург;р-н Курортный;мкр. Сестрорецк;м. Комендантский проспект;улица Инструментальщиков, 18;48,53;4;5;2;https://spb.cian.ru/sale/flat/327097094/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
259 000 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Крестовский остров;Динамовская улица, 2;363;7;7;5;https://spb.cian.ru/sale/flat/321804216/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
138 000 000 ₽;Санкт-Петербург;р-н Центральный;Смольнинское;м. Чернышевская;Тверская улица, 1;270;8;9;6;https://spb.cian.ru/sale/flat/292532632/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
19 429 978 ₽;Санкт-Петербург;р-н Василеостровский;Морской;м. Приморская;Новая Земля ЖК;59,18;2;15;2;https://spb.cian.ru/sale/flat/324518980/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
255 000 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Крестовский остров;Спортивная улица, 2;175;5;6;4;https://spb.cian.ru/sale/flat/323392605/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
2 800 000 ₽;Санкт-Петербург;р-н Центральный;Смольнинское;м. Площадь Восстания;Греческий проспект, 5;10;1;5;Студия;https://spb.cian.ru/sale/flat/326035217/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
15 402 660 ₽;Санкт-Петербург;р-н Приморский;Озеро Долгое;м. Комендантский проспект;Камышовая улица, 25;52,39;5;12;2;https://spb.cian.ru/sale/flat/294928457/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
5 550 000 ₽;Санкт-Петербург;р-н Выборгский;мкр. Парголово;м. Озерки;улица Ленина, 38;48,9;2;2;2;https://spb.cian.ru/sale/flat/308750500/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
3 000 000 ₽;Санкт-Петербург;р-н Московский;Гагаринское;м. Московская;проспект Космонавтов, 18К2;46,94;3;5;1/2 квартиры;https://spb.cian.ru/sale/flat/325017743/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
16 246 030 ₽;Санкт-Петербург;р-н Приморский;Лахта-Ольгино;м. Беговая;улица Ивинская, 1к4;63,41;17;23;3;https://spb.cian.ru/sale/flat/316330992/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
7 500 000 ₽;Санкт-Петербург;р-н Московский;Новоизмайловское;м. Московская;Новоизмайловский проспект, 81;45;3;5;2;https://spb.cian.ru/sale/flat/326387873/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
3 700 000 ₽;Санкт-Петербург;р-н Центральный;Владимирский;м. Лиговский проспект;улица Марата, 60/7;98,2;2;4;142/1000 квартиры;https://spb.cian.ru/sale/flat/326483283/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
6 628 206 ₽;Санкт-Петербург;р-н Невский;№ 54;м. Улица Дыбенко;;20,52;2;18;Студия;https://spb.cian.ru/sale/flat/318139712/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
15 500 000 ₽;Санкт-Петербург;р-н Пушкинский;мкр. Пушкин;м. Купчино;улица Радищева, 2/10;72,6;3;3;2;https://spb.cian.ru/sale/flat/311678716/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
3 950 000 ₽;Санкт-Петербург;р-н Фрунзенский;Георгиевский;м. Дунайская;Купчинская улица, 4К4;25,4;11;16;Студия;https://spb.cian.ru/sale/flat/325596566/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
38 223 990 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Крестовский остров;Петровский проспект, 9к2;73,1;7;9;2;https://spb.cian.ru/sale/flat/318140398/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
6 750 000 ₽;Санкт-Петербург;р-н Калининский;Прометей;м. Гражданский проспект;Светлановский проспект, 60К1;31;6;9;1;https://spb.cian.ru/sale/flat/314620201/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
4 190 000 ₽;Санкт-Петербург;р-н Красногвардейский;Ржевка;м. Ладожская;Челябинская улица, 37;26,8;5;5;Студия;https://spb.cian.ru/sale/flat/326836999/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
47 432 480 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Спортивная;Ремесленная улица, 15;116,8;2;8;4;https://spb.cian.ru/sale/flat/326433772/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
9 500 000 ₽;Санкт-Петербург;р-н Невский;Правобережный;м. Проспект Большевиков;улица Коллонтай, 14К4;50,8;10;10;2;https://spb.cian.ru/sale/flat/327340155/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
4 190 000 ₽;Санкт-Петербург;р-н Красногвардейский;Полюстрово;м. Девяткино;улица Пейзажная, 24к2;20,8;7;24;Студия;https://spb.cian.ru/sale/flat/327152597/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
46 640 000 ₽;Санкт-Петербург;р-н Центральный;Смольнинское;м. Площадь Александра Невского;проспект Бакунина, 33;116,6;2;9;3;https://spb.cian.ru/sale/flat/327344401/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
7 250 000 ₽;Санкт-Петербург;р-н Колпинский;мкр. Колпино;м. Рыбацкое;улица Севастьянова, 30к1;42,9;11;11;1;https://spb.cian.ru/sale/flat/326829474/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
16 900 000 ₽;Санкт-Петербург;р-н Адмиралтейский;Адмиралтейский;м. Садовая;Вознесенский проспект, 31;77,7;3;4;2;https://spb.cian.ru/sale/flat/323999676/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
69 555 880 ₽;Санкт-Петербург;р-н Адмиралтейский;Измайловское;м. Балтийская;набережная Обводного Канала, 169;119,8;9;9;4;https://spb.cian.ru/sale/flat/318998095/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
7 399 000 ₽;Санкт-Петербург;р-н Невский;Народный;м. Ломоносовская;улица Русановская, 18к3;35;12;24;1;https://spb.cian.ru/sale/flat/326737254/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
7 600 000 ₽;Санкт-Петербург;р-н Невский;Невский;м. Проспект Большевиков;Дальневосточный проспект, 23;23,7;3;15;Студия;https://spb.cian.ru/sale/flat/327454493/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
21 827 018 ₽;Санкт-Петербург;р-н Красногвардейский;Большая Охта;м. Новочеркасская;Якорная улица, 8к2;69,8;3;10;3;https://spb.cian.ru/sale/flat/318135746/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
7 495 000 ₽;Санкт-Петербург;р-н Калининский;Прометей;м. Гражданский проспект;Светлановский проспект, 117;31;9;9;1;https://spb.cian.ru/sale/flat/326669830/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
6 205 000 ₽;Санкт-Петербург;р-н Пушкинский;мкр. Шушары;м. Шушары;Московское шоссе, 256к5;32;5;9;1;https://spb.cian.ru/sale/flat/324200637/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
6 605 453 ₽;Санкт-Петербург;р-н Невский;№ 54;м. Улица Дыбенко;Товарищеский проспект, 38Б;21,6;2;22;Студия;https://spb.cian.ru/sale/flat/315056850/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
8 250 000 ₽;Санкт-Петербург;р-н Московский;Звёздное;м. Звездная;Пулковская улица, 6к2;25,3;24;24;Студия;https://spb.cian.ru/sale/flat/326431319/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
18 900 000 ₽;Санкт-Петербург;р-н Приморский;Юнтолово;м. Комендантский проспект;Комендантский проспект, 34к1;84;2;16;3;https://spb.cian.ru/sale/flat/326251372/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
16 030 000 ₽;Санкт-Петербург;р-н Василеостровский;Морской;м. Приморская;Северный Ветер ЖК;40,03;6;15;1;https://spb.cian.ru/sale/flat/326690029/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
8 300 000 ₽;Санкт-Петербург;р-н Невский;Ивановский;м. Ломоносовская;Варфоломеевская улица, 6;40;12;13;1;https://spb.cian.ru/sale/flat/323967054/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
7 890 000 ₽;Санкт-Петербург;р-н Красносельский;Южно-Приморский;м. Юго-Западная;проспект Кузнецова, 17Г;35,7;2;12;1;https://spb.cian.ru/sale/flat/326670929/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
119 275 358 ₽;Санкт-Петербург;р-н Московский;Московская застава;м. Московские ворота;улица Коли Томчака, 3;112,71;11;11;3;https://spb.cian.ru/sale/flat/327096130/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
9 700 000 ₽;Санкт-Петербург;р-н Невский;Невский;м. Улица Дыбенко;улица Архивная, 11к3;37;6;23;1;https://spb.cian.ru/sale/flat/323819266/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
65 000 000 ₽;Санкт-Петербург;р-н Петроградский;Аптекарский остров;м. Петроградская;набережная Реки Карповки, 16к2;136;3;8;3;https://spb.cian.ru/sale/flat/325606961/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
33 160 825 ₽;Санкт-Петербург;р-н Курортный;мкр. Зеленогорск;Приморское шоссе;570Л;57,1;9;12;2;https://spb.cian.ru/sale/flat/309824008/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
9 790 000 ₽;Санкт-Петербург;р-н Невский;№ 54;м. Улица Дыбенко;улица Крыленко, 43К1;46,7;7;10;1;https://spb.cian.ru/sale/flat/325950241/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
6 500 000 ₽;Санкт-Петербург;р-н Красногвардейский;Большая Охта;м. Ладожская;проспект Энергетиков, 8к2;24;4;14;Студия;https://spb.cian.ru/sale/flat/325407888/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
82 821 608 ₽;Санкт-Петербург;р-н Василеостровский;Васильевский;м. Василеостровская;13-я Васильевского острова линия, 50;141,1;5;7;3;https://spb.cian.ru/sale/flat/290200391/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
9 782 450 ₽;Санкт-Петербург;р-н Адмиралтейский;Измайловское;м. Балтийская;бульвар Измайловский, 1к2;20,2;9;10;Студия;https://spb.cian.ru/sale/flat/319260822/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
5 600 000 ₽;Санкт-Петербург;р-н Петродворцовый;мкр. Петергоф;м. Юго-Западная;бульвар Разведчика, 8к2;43,7;1;4;2;https://spb.cian.ru/sale/flat/326994580/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
11 848 694 ₽;Санкт-Петербург;р-н Василеостровский;Морской;м. Приморская;Башни Элемент ЖК;24,37;5;22;Студия;https://spb.cian.ru/sale/flat/327097171/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
9 758 200 ₽;Санкт-Петербург;р-н Адмиралтейский;Измайловское;м. Балтийская;бульвар Измайловский, 1к2;20,1;9;10;Студия;https://spb.cian.ru/sale/flat/319259549/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
30 000 000 ₽;Санкт-Петербург;р-н Центральный;Литейный;м. Чернышевская;Шпалерная улица, 32;95,4;2;4;3;https://spb.cian.ru/sale/flat/327049919/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
28 730 000 ₽;Санкт-Петербург;р-н Василеостровский;Морской;м. Приморская;Северный Ветер ЖК;71,11;4;9;2;https://spb.cian.ru/sale/flat/316697213/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
9 912 700 ₽;Санкт-Петербург;р-н Адмиралтейский;Измайловское;м. Балтийская;бульвар Измайловский, 1к2;20,2;9;10;Студия;https://spb.cian.ru/sale/flat/319261668/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
5 200 000 ₽;Санкт-Петербург;р-н Красносельский;Сосновая поляна;м. Юго-Западная;проспект Ветеранов, 181;24,1;5;9;Студия;https://spb.cian.ru/sale/flat/325474578/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
23 596 401 ₽;Санкт-Петербург;р-н Курортный;мкр. Зеленогорск;Приморское шоссе;570Л;48,2;6;12;1;https://spb.cian.ru/sale/flat/309823866/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
84 300 000 ₽;Санкт-Петербург;р-н Центральный;Владимирский;м. Достоевская;улица Рубинштейна, 4;132;3;5;3;https://spb.cian.ru/sale/flat/326483161/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
15 599 999 ₽;Санкт-Петербург;р-н Фрунзенский;№ 75;м. Проспект Славы;Малая Бухарестская улица, 6к1;58,7;5;18;2;https://spb.cian.ru/sale/flat/325210032/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
28 693 440 ₽;Санкт-Петербург;р-н Василеостровский;Гавань;м. Приморская;набережная Миклухо-Маклая, 3к1;64,8;17;17;2;https://spb.cian.ru/sale/flat/324914899/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
11 590 000 ₽;Санкт-Петербург;р-н Красносельский;Южно-Приморский;м. Юго-Западная;проспект Патриотов, 34;42,7;15;22;1;https://spb.cian.ru/sale/flat/319134896/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
